Nuclear,Wind,Hydroelectric,Oil and Gas,Coal,Solar,Biomass
1349,905,1826,1113,1178,195,59
1247,547,1644,1112,1128,132,59
1197,555,1771,1251,1163,109,53
1280,640,2007,1225,1222,175,57
1202,760,1812,1208,1111,113,55
1262,766,1755,1142,1133,231,56
1283,790,1721,1030,1164,207,50
1187,850,1745,1124,1144,129,55
1335,749,2014,1214,1240,129,55
1279,814,1956,1179,1119,181,54
1239,662,1818,1426,1165,129,51
1317,964,1938,1186,1171,164,57
1134,716,1774,1193,1140,185,53
1306,923,1631,1009,1256,169,52
1276,951,1731,1323,1097,186,56
1334,805,1776,1058,1146,224,56
1340,815,1679,1190,1194,168,54
1195,983,1866,1197,1135,199,56
1291,982,1805,1095,1227,169,53
1356,743,1589,1131,1193,172,50
1291,594,1802,1276,1157,184,56
1289,759,1794,1096,1156,207,59
1340,747,2052,1169,1043,129,52
1303,576,1795,1147,1182,173,56
1347,930,1979,1279,1105,217,57
1270,677,1845,1145,1115,282,53
1266,584,1738,1146,1086,119,58
1183,780,1806,1126,1137,197,55
1289,782,1962,1237,1186,105,55
1231,650,1865,1205,1087,231,58
1358,678,1868,1154,1196,189,55
1214,721,1726,1032,1181,165,55
1256,850,1946,1254,1056,214,53
1258,773,1819,1183,1172,87,57
1243,1207,1820,1190,1179,151,56
1185,713,1696,1215,1178,167,61
1217,739,1673,1185,1132,164,52
1305,861,1760,1127,1136,113,57
1334,765,1871,1072,1233,108,55
1309,651,1688,1144,1195,212,59
1308,797,1889,1211,1214,109,55
1293,677,1653,1155,1153,167,53
1256,821,1784,1198,1094,134,56
1251,841,1896,1162,1153,235,56
1308,759,1898,1171,1095,197,57
1338,731,1733,1224,1089,143,55
1311,911,1741,1172,1196,100,54
1216,692,2050,1096,1174,145,52
1315,727,1672,1260,1194,168,54
1268,707,1823,1180,1108,179,56
1296,486,1781,1128,1127,215,54
1289,797,1829,1145,1193,166,59
1170,614,1725,1272,1138,155,52
1224,630,1742,1087,1214,148,55
1330,561,1733,1266,1102,164,55
1278,562,1757,1180,1179,157,52
1262,907,1799,1153,1215,258,53
1293,719,1641,1237,1156,264,56
1307,846,1924,1112,1075,114,51
1298,886,1770,1062,1059,135,58
1302,735,1879,1157,1266,133,58
1294,610,1929,1170,1310,216,60
1322,885,1529,1253,1049,180,57
1340,754,1699,1208,1242,154,56
1305,724,1766,1065,1105,169,56
1285,790,1685,1213,1042,164,54
1287,611,1820,1164,1061,147,55
1220,807,1965,1235,1098,121,56
1356,779,1816,1223,1157,226,51
1329,937,1590,1229,1147,224,55
1191,851,1893,1080,1139,137,56
1238,635,1916,1241,1016,215,58
1290,633,1743,1262,1103,217,59
1265,774,1775,1176,1124,137,57
1258,517,1714,1136,1112,156,59
1264,728,1901,1146,1113,165,54
1219,801,1940,1257,1111,258,59
1282,621,1882,1098,1127,159,57
1257,839,1919,1088,1204,242,53
1260,952,1801,1174,1144,118,57
1266,820,1512,1169,1097,179,58
1292,681,1688,1181,1147,116,56
1209,858,1696,1213,1083,91,58
1261,741,1659,1147,1040,87,56
1285,670,1678,1223,1296,153,53
1243,662,1614,1215,1159,196,56
1311,739,1771,1145,1165,204,54
1252,934,1831,1219,1229,205,57
1278,838,1592,1166,1147,194,56
1351,643,1670,1213,1033,176,54
1312,859,1782,1233,1150,194,56
1324,960,1828,1233,1178,147,54
1186,793,1724,1159,1186,105,56
1216,678,1831,1226,1139,85,53
1304,946,1706,1159,1085,145,55
1268,682,1772,1159,1117,126,54
1333,749,1799,1358,1181,222,55
1239,711,1902,1137,1116,329,54
1267,881,1701,1248,1174,163,55
1242,766,2003,1107,1153,205,52
1329,896,1627,1228,1168,204,56
1303,1156,1770,1175,1236,184,54
1310,852,2064,1184,1129,243,56
1232,851,1841,1103,1251,286,54
1328,895,1769,1122,1171,178,59
1303,773,1799,1202,1103,221,55
1314,592,1793,1299,1052,261,55
1290,838,1895,1102,1115,119,52
1289,721,1731,1101,1159,145,54
1327,695,1928,1128,1200,129,53
1224,727,2105,1174,1076,143,52
1272,714,1785,1255,1099,230,57
1287,779,1624,1199,1152,124,53
1190,825,1493,1110,1138,182,55
1310,705,1925,1336,1188,215,53
1261,941,2129,1173,1195,58,57
1270,689,2020,1216,1157,142,54
1317,625,1607,1094,1095,195,51
1311,619,1850,1125,1095,144,51
1316,761,1798,995,1139,163,57
1335,722,1727,1102,1145,162,54
1354,853,1858,1241,1125,197,52
1193,798,1859,1129,1146,136,54
1332,706,1894,1125,1116,203,54
1319,971,1713,1289,1232,173,59
1242,948,1535,1344,1129,151,54
1281,690,1967,1196,1299,312,58
1275,805,1803,1139,1132,164,58
1270,723,1705,1227,1213,170,52
1292,607,1604,1200,1218,154,51
1282,990,1688,1186,1144,106,53
1357,567,1757,1094,1082,181,53
1219,843,1696,1065,1190,199,53
1314,854,1750,1193,1076,147,55
1267,752,1640,1253,1112,165,59
1280,690,1699,1171,1179,168,54
1289,860,1691,1130,1120,140,54
1233,855,1708,1240,1181,136,55
1220,682,1490,1107,1124,269,56
1335,876,1766,1152,1220,145,56
1285,630,1941,1160,1172,177,52
1267,907,1753,1221,1190,191,58
1258,840,1879,1220,1051,146,55
1289,881,1607,1133,1234,220,55
